known_developer,known_publisher,multi_player,single_player,co-op,mmo,in_app_purchases,achievements,positive_ratings,average_playtime,median_playtime,price,owners,owners
0,0,1,1,0,0,0,0,0.78,939,939,3.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.8,46,60,8.59,100000-200000,150000
0,0,1,1,0,0,0,0,0.66,0,0,3.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.81,0,0,3.99,200000-500000,350000
0,0,0,1,0,0,0,0,0.9,1422,1429,7.99,200000-500000,350000
0,1,1,1,0,0,0,0,0.24,0,0,4.49,20000-50000,35000
0,0,0,1,0,0,0,0,0.6,1,1,4.49,50000-100000,75000
0,1,1,1,0,0,0,0,0.76,270,270,4.49,200000-500000,350000
0,0,0,1,0,0,0,0,0.92,267,267,4.25,100000-200000,150000
0,0,0,1,0,0,0,0,0.72,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.94,214,254,4.25,200000-500000,350000
0,0,0,1,0,0,0,0,0.92,1,1,0.0,200000-500000,350000
0,0,0,1,0,0,0,0,0.83,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.77,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.72,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.69,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.77,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.94,237,237,4.25,200000-500000,350000
0,0,0,1,0,0,0,0,0.85,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.62,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,0,0.83,0,0,4.25,20000-50000,35000
0,1,0,1,0,0,0,21,0.97,480,374,4.25,1000000-2000000,1500000
0,0,0,1,0,0,0,0,0.63,0,0,4.25,50000-100000,75000
0,0,0,1,0,0,0,0,0.73,0,0,4.25,20000-50000,35000
0,0,0,1,0,0,0,14,0.94,0,0,4.25,100000-200000,150000
1,1,0,1,0,0,0,0,0.76,262,371,5.59,500000-1000000,750000
1,1,1,1,1,0,0,0,0.88,8,8,5.59,50000-100000,75000
0,1,0,1,0,0,0,0,0.95,287,318,6.99,200000-500000,350000
1,1,1,1,0,0,0,0,0.87,20,24,3.99,200000-500000,350000
0,0,0,1,0,0,0,0,0.79,0,0,7.19,50000-100000,75000
0,0,0,1,0,0,0,0,0.77,111,111,6.99,50000-100000,75000
0,0,0,1,0,0,0,0,0.72,771,771,6.99,50000-100000,75000
1,1,0,1,0,0,0,37,0.95,491,232,6.99,2000000-5000000,3500000
1,1,1,1,0,0,0,0,0.92,49,64,9.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.86,1166,13,2.99,2000000-5000000,3500000
1,1,0,1,0,0,0,0,0.93,296,436,5.99,500000-1000000,750000
0,1,1,1,0,0,0,0,0.44,0,0,2.99,20000-50000,35000
0,1,0,1,0,0,0,0,0.74,0,0,5.99,50000-100000,75000
1,1,0,1,0,0,0,0,0.86,0,0,2.99,1000000-2000000,1500000
1,1,1,1,1,0,0,29,0.96,12422,1875,6.99,10000000-20000000,15000000
0,0,0,1,0,0,0,0,0.44,0,0,5.99,0-20000,10000
0,0,1,1,0,0,0,0,0.74,0,0,25.99,200000-500000,350000
0,0,1,1,0,0,0,0,0.67,0,0,3.99,0-20000,10000
0,0,0,1,0,0,0,0,0.75,78,78,5.99,20000-50000,35000
0,1,0,1,0,0,0,0,0.61,0,0,7.99,20000-50000,35000
0,1,0,1,0,0,0,0,0.65,0,0,6.99,20000-50000,35000
0,1,1,1,0,0,0,0,0.65,0,0,7.99,20000-50000,35000
1,1,1,1,0,0,0,0,0.95,493,360,9.99,1000000-2000000,1500000
0,1,1,1,1,0,0,0,0.64,124,244,7.99,100000-200000,150000
0,1,1,1,1,0,0,0,0.67,1,1,4.99,100000-200000,150000
1,1,1,1,0,0,0,0,0.94,175,186,0.0,2000000-5000000,3500000
1,1,1,1,0,0,0,0,0.94,309,340,9.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.96,543,620,9.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.94,469,361,0.0,2000000-5000000,3500000
0,1,0,1,0,0,0,0,0.85,312,312,9.99,200000-500000,350000
1,1,1,1,0,0,0,0,0.93,897,1192,8.99,1000000-2000000,1500000
0,1,1,1,0,0,0,0,0.72,33,33,8.99,500000-1000000,750000
0,1,1,1,0,0,0,0,0.95,0,0,0.0,200000-500000,350000
1,1,1,1,0,0,0,0,0.85,0,0,9.99,50000-100000,75000
1,0,1,1,0,0,0,0,0.88,1134,1208,3.99,100000-200000,150000
1,0,0,1,0,0,0,0,0.82,0,0,3.99,100000-200000,150000
1,0,0,1,0,0,0,0,0.72,1,1,3.99,100000-200000,150000
1,0,1,1,0,0,0,0,0.64,71,71,3.99,100000-200000,150000
1,1,0,1,0,0,0,0,0.88,0,0,0.0,0-20000,10000
1,1,1,0,0,0,0,67,0.85,627,253,6.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.94,369,265,7.19,1000000-2000000,1500000
1,1,0,1,0,0,0,0,0.95,419,804,4.79,100000-200000,150000
1,1,1,1,0,0,0,0,0.95,1254,174,7.19,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.9,127,180,7.19,1000000-2000000,1500000
1,0,0,1,0,0,0,0,0.91,801,801,4.79,100000-200000,150000
0,1,1,1,0,0,0,0,0.92,618,320,7.19,2000000-5000000,3500000
0,0,1,1,1,0,0,0,0.88,17,17,7.19,20000-50000,35000
0,1,0,1,0,0,0,0,0.87,100,100,4.79,20000-50000,35000
1,1,0,1,0,0,0,12,0.89,255,363,7.19,200000-500000,350000
0,0,0,1,0,0,0,0,0.86,21,21,3.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.73,0,0,3.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.91,78,96,4.99,200000-500000,350000
0,0,1,1,0,0,0,0,0.81,0,0,3.99,50000-100000,75000
0,0,1,1,0,0,0,0,0.44,0,0,3.99,20000-50000,35000
1,1,0,1,0,0,0,0,0.87,20,20,13.99,100000-200000,150000
1,1,0,1,0,0,0,0,0.92,14,19,5.99,200000-500000,350000
1,1,1,1,0,1,0,0,0.86,70,102,0.0,500000-1000000,750000
0,0,1,1,1,0,0,0,0.87,0,0,5.79,20000-50000,35000
0,0,1,1,0,0,0,0,0.84,0,0,6.99,50000-100000,75000
1,1,1,1,0,0,0,0,0.76,74,74,9.99,200000-500000,350000
1,1,0,1,0,0,0,0,0.58,90,90,15.99,200000-500000,350000
1,1,1,1,1,0,0,0,0.88,63,70,3.99,500000-1000000,750000
1,1,1,1,1,0,0,0,0.85,12,14,3.99,500000-1000000,750000
1,1,1,1,1,0,0,0,0.85,201,302,3.99,500000-1000000,750000
1,1,1,1,1,0,0,0,0.61,14,20,3.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.85,63,58,8.29,1000000-2000000,1500000
1,1,0,1,0,0,0,0,0.94,435,365,9.29,1000000-2000000,1500000
0,1,0,1,0,0,0,0,0.74,0,0,4.99,200000-500000,350000
